Mon May 11 11:31:13 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 11:31:13 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 11:31:13 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 11:31:13 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 14:28:26 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 14:28:26 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 14:28:26 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 14:28:26 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 14:31:24 2026 - USER: nidhu, OPERATION: READ, FILE: hello.txt
Mon May 11 17:14:02 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:14:02 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:14:02 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:14:02 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 17:25:31 2026 - USER: nidhi, OPERATION: READ, FILE: example.txt
Mon May 11 17:29:34 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 17:29:34 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 17:29:34 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Mon May 11 17:29:34 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Thu Jun  4 09:43:27 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Thu Jun  4 09:43:27 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Thu Jun  4 09:43:27 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Thu Jun  4 09:43:27 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Thu Jun  4 09:44:08 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Thu Jun  4 09:44:08 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Thu Jun  4 09:44:08 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Thu Jun  4 09:44:08 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Thu Jun  4 09:58:23 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Thu Jun  4 09:58:23 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Thu Jun  4 09:58:23 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Thu Jun  4 09:58:23 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Thu Jun  4 09:58:31 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Thu Jun  4 09:58:31 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Thu Jun  4 09:58:31 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Thu Jun  4 09:58:31 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Thu Jun  4 10:26:26 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Thu Jun  4 10:26:26 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Thu Jun  4 10:26:26 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Thu Jun  4 10:26:26 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
